Model,Train Accuracy,Val Accuracy,Training Time (s),Parameters
Custom CNN,1.0,0.9673469662666321,2271.021377801895,849995
MobileNetV2,0.6875,0.4612244963645935,1617.3945026397705,2624363
ResNet50,0.21875,0.20382653176784515,4370.650907993317,24150699
